images_intro,price,title,hot_line,link_source,rating_total,branch,RAM,CPU,Bộ nhớ,Màn hình,Màu sắc
https://cdn.mediamart.vn/images/product/din-thoi-oppo-cph2343---reno7-z-5g-den_ed63624c.jpg,9.690.000 ₫,Điện thoại OPPO CPH2343 - Reno7 Z 5G Đen,1900.6788,https://mediamart.vn/smartphones/dien-thoai-oppo-cph2343-reno7-z-5g-den,(0) ,Oppo,8 GB,Snapdragon 695,128 GB,6.43 inch,"7z Đen,7z Bạc"
https://cdn.mediamart.vn/images/product/din-thoi-oppo-cph2349---a16k-xanh-thi-thung_6a59751e.jpg,3.190.000 ₫,Điện thoại OPPO CPH2349 - A16k Xanh thời thượng,1900.6788,https://mediamart.vn/smartphones/dien-thoai-oppo-cph2349-a16k-xanh-thoi-thuong,(0) ,Oppo,3 GB,MT6765,32 GB,6.52 inch,"Xanh thời thượng,Đen mạnh mẽ,Đen bí ẩn"
https://cdn.mediamart.vn/images/product/-Boa3Ze.jpg,7.490.000 ₫,Điện thoại OPPO CPH2237 - Reno 6Z 5G Đen,1900.6788,https://mediamart.vn/smartphones/dien-thoai-oppo-cph2237-reno-6z-5g-den,(1) ,Oppo,8 GB,Dimensity 800U,128 GB,6.43 inch,"Đen,Bạc"
https://cdn.mediamart.vn/images/product/dien-thoai-xiaomi-redmi-note-6-pro-32gb-blue-yo0C3W.png,2.890.000 ₫,Điện thoại Xiaomi Redmi Note 6 Pro 32Gb Blue,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-note-6-pro-32gb-blue,(1) ,Xiaomi,3 GB,Snapdragon 636,32 GB,,
https://cdn.mediamart.vn/images/product/dien-thoai-xiaomi-redmi-10-464-xam-973iFJ.jpg,3.990.000 ₫,Điện thoại Xiaomi Redmi 10 (4+64) Xám,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-10-4-64-xam,(1) ,Xiaomi,4 GB,Helio G88,64 GB,6.5 inch,"Xám (4-64),Trắng (4-64),Xanh (4-128),Trắng (4-128)"
https://cdn.mediamart.vn/images/product/din-thoi-xiaomi-redmi-note-11-464-xam_6706cc42.jpg,4.590.000 ₫,Điện thoại Xiaomi Redmi Note 11 (4+64) Xám,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-note-11-4-64-xam,(0) ,Xiaomi,4 GB,Snapdragon 680,64 GB,6.43 inch,"Xám (4-64),Xanh (4-64),Xanh nhạt (4-64),Xám (4+128),Xanh (4+128),Xanh nhạt (4+128)"
https://cdn.mediamart.vn/images/product/din-thoi-xiaomi-redmi-10a-232-xanh_3866132a.jpg,2.890.000 ₫,Điện thoại Xiaomi Redmi 10A (2+32) Xanh,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-10a-2-32-xanh,(0) ,Xiaomi,2 GB,Helio G25,32 GB,6.53 inch,"Xanh,Xám,Bạc"
https://cdn.mediamart.vn/images/product/din-thoi-xiaomi-redmi-note-11-pro-5g-8128g-xanh-duong-dm_4031e687.jpg,8.990.000 ₫,Điện thoại Xiaomi Redmi Note 11 Pro 5G (8+128G) Xanh Dương (DM),1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-note-11-pro-5g-8-128g-xanh-duong-dm-,(0) ,Xiaomi,8 GB,Snapdragon 695,128 GB,6.67 inch,
https://cdn.mediamart.vn/images/product/-n0A3jY.jpg,5.990.000 ₫,Điện thoại Xiaomi Redmi Note 10s (8+128) Xám,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-note-10s-8-128,(1) ,Xiaomi,8 GB,Helio G95,128 GB,6.43 inch,
https://cdn.mediamart.vn/images/product/-kJOAJK.jpg,3.990.000 ₫,Điện thoại Xiaomi Redmi 10 (4+64) Trắng DM,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-10-4-64-trang-dm,(1) ,Xiaomi,4 GB,Helio G88,64 GB,6.5 inch,
https://cdn.mediamart.vn/images/product/din-thoi-xiaomi-redmi-note-11-pro-5g-8128g-xam_e397cb65.jpg,8.990.000 ₫,Điện thoại Xiaomi Redmi Note 11 Pro 5G (8+128G) Xám,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-note-11-pro-5g-8-128g-xam,(0) ,Xiaomi,8 GB,Snapdragon 695,128 GB,6.67 inch,"Xám,Xanh"
https://cdn.mediamart.vn/images/product/dien-thoai-xiaomi-redmi-9c-364-xam-4f0546.jpg,2.990.000 ₫,Điện thoại Xiaomi REDMI 9C (3+64) Xám,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-9c-3-64-xam,(1) ,Xiaomi,3 GB,Helio G35,64 GB,6.53 inch,"Xám (3+64),Xanh (3+64),Xám (4+128),Tím (4+128)"
https://cdn.mediamart.vn/images/product/dien-thoai-xiaomi-redmi-9a-232-xanh-la-EbXAmv.jpg,2.190.000 ₫,Điện thoại Xiaomi REDMI 9A (2+32) Xanh lá,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-9a-2-32-xanh-la,(1) ,Xiaomi,2 GB,Helio G25,32 GB,6.53 inch,"Xanh lá,Xám,Xanh dương"
https://cdn.mediamart.vn/images/product/dien-thoai-xiaomi-redmi-9c-4128-xam-V9RSy6.jpg,3.290.000 ₫,Điện thoại Xiaomi Redmi 9C (4+128) Xám,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-9c-4-128-xam,(1) ,Xiaomi,4 GB,Helio G35,128 GB,6.53 inch,"Xám (3+64),Xanh (3+64),Xám (4+128),Tím (4+128)"
https://cdn.mediamart.vn/images/product/dien-thoai-xiaomi-redmi-10-464-xam-dm-r51b23.jpg,3.990.000 ₫,Điện thoại Xiaomi Redmi 10 (4+64) Xám DM,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-10-4-64-xam-dm,(1) ,Xiaomi,4 GB,Helio G88,64 GB,6.5 inch,
https://cdn.mediamart.vn/images/product/din-thoi-xiaomi-redmi-10-4128-xanh-duong_a6f0b79a.jpg,4.090.000 ₫,Điện thoại Xiaomi Redmi 10 (4+128) Xanh Dương,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-10-4-128-xanh-duong,(0) ,Xiaomi,4 GB,Helio G88,128 GB,6.5 inch,"Xám (4-64),Trắng (4-64),Xanh (4-128),Trắng (4-128)"
https://cdn.mediamart.vn/images/product/din-thoi-xiaomi-11-lite-5g-ne-den-8128_3520bc97.jpg,8.290.000 ₫,Điện thoại Xiaomi 11 Lite 5G NE Đen (8+128),1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-11-lite-5g-ne-den,(1) ,Xiaomi,8 GB,Snapdragon 778G,128 GB,6.55 inch,"Đen,Hồng,Xanh"
https://cdn.mediamart.vn/images/product/din-thoi-xiaomi-redmi-note-11-4128-xam_24aed55b.jpg,4.890.000 ₫,Điện thoại Xiaomi Redmi Note 11 (4+128) Xám,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-note-11-4-128-xam,(0) ,Xiaomi,4 GB,Snapdragon 680,128 GB,6.43 inch,"Xám (4-64),Xanh (4-64),Xanh nhạt (4-64),Xám (4+128),Xanh (4+128),Xanh nhạt (4+128)"
https://cdn.mediamart.vn/images/product/-WFPwT1.jpg,2.490.000 ₫,Điện thoại Vivo V2027-Y20 (4+64GB) Xanh (DM),1900.6788,https://mediamart.vn/smartphones/dien-thoai-vivo-v2027y20-4-64gb-xanh-dm,(1) ,Vivo,4 GB,Snapdragon 460,64 GB,6.51 inch,
https://cdn.mediamart.vn/images/product/din-thoi-vivo-v2111---y21-464gb-xanh-tim_df87fafb.jpg,3.790.000 ₫,Điện thoại Vivo V2111 - Y21 (4+64Gb) Xanh Tím,1900.6788,https://mediamart.vn/smartphones/dien-thoai-vivo-v2111-y21-4-64gb-xanh-tim,(0) ,Vivo,4 GB,Helio P35,64 GB,6.51 inch,"Xanh,Trắng"
https://cdn.mediamart.vn/images/product/dien-thoai-vivo-1933v19-8128gb-bac-EljtjO.png,5.490.000 ₫,Điện thoại Vivo 1933-V19 (8+128GB) Bạc,1900.6788,https://mediamart.vn/smartphones/dien-thoai-vivo-1933v19-8-128gb-bac,(1) ,Vivo,8 GB,Snapdragon 712,128 GB,6.4 inch,"Bạc,Đen"
https://cdn.mediamart.vn/images/product/dien-thoai-vivo-1938y30-4128gb-trang-dm-A3eaYx.jpg,2.790.000 ₫,Điện thoại Vivo 1938-Y30 (4+128Gb) Trắng (DM),1900.6788,https://mediamart.vn/smartphones/dien-thoai-vivo-1938y30-4-128gb-trang-dm,(1) ,Vivo,4 GB,Helio P35,128 GB,,
https://cdn.mediamart.vn/images/product/-jR5b8g.jpg,2.990.000 ₫,Điện thoại Vivo 1915-Y19 (6+126GB)(Đen) (DM),1900.6788,https://mediamart.vn/smartphones/dien-thoai-vivo-1915y19-6-126gb-black-dm,(1) ,Vivo,6 GB,,128 GB,6.53 inch,
https://cdn.mediamart.vn/images/product/dien-thoai-vivo-1935y50-8128gb-den-ppRjD5.png,4.290.000 ₫,Điện thoại Vivo 1935-Y50 (8+128GB) Đen,1900.6788,https://mediamart.vn/smartphones/dien-thoai-vivo-1935y50-8-128gb-den,(1) ,Vivo,8 GB,Snapdragon 665,128 GB,6.53 inch,"Đen,Xanh,DM"
https://cdn.mediamart.vn/images/product/dtdd-vivo-1920s1-pro-8128gb-den-dm-qO9j80.png,4.990.000 ₫,Điện thoại Vivo 1920-S1 Pro (8+128GB) Đen (DM),1900.6788,https://mediamart.vn/smartphones/dtdd-vivo-1920s1-pro-8-128gb-den-dm,(1) ,Vivo,8 GB,Snapdragon 665,128 GB,6.4 inch,
https://cdn.mediamart.vn/images/product/din-thoi-realme-c11-2021-2-32-xanh_1833db42.jpg,2.690.000 ₫,Điện thoại Realme C11 2021 (2-32) Xanh,1900.6788,https://mediamart.vn/smartphones/dien-thoai-realme-c11-2021-2-32-xanh,(0) ,Realme,2 GB,Spreadtrum SC9863A,32 GB,6.5 inch,"Xanh (2-32),Xám (2-32),Xanh (4-64),Xám (4-64)"
https://cdn.mediamart.vn/images/product/dien-thoai-realme-5i-464gb-rmx2032-xanh-la-dm-g05j2L.jpg,3.490.000 ₫,Điện Thoại Realme 5i (4+64Gb) - RMX2032 Xanh lá (DM),1900.6788,https://mediamart.vn/smartphones/dien-thoai-realme-5i-4-64gb-rmx2032-xanh-la-dm,(1) ,Realme,4 GB,Snapdragon 665,64 GB,6.52 inch,
https://cdn.mediamart.vn/images/product/din-thoi-realme-rmx3269---realme-c25y-4-128-xanh_502f474b.jpg,4.990.000 ₫,Điện thoại Realme RMX3269 - Realme C25Y (4-128) Xanh,1900.6788,https://mediamart.vn/smartphones/dien-thoai-realme-rmx3269-realme-c25y-4-128-xanh,(0) ,Realme,4 GB,Unisoc T618,128 GB,6.5 inch,"Xanh,Xám"
https://cdn.mediamart.vn/images/product/din-thoi-realme-c11-2021-4-64-xanh_462ffcf0.jpg,3.790.000 ₫,Điện thoại Realme C11 2021 (4-64) Xanh,1900.6788,https://mediamart.vn/smartphones/dien-thoai-realme-c11-2021-4-64-xanh,(0) ,Realme,4 GB,Spreadtrum SC9863A,64 GB,6.5 inch,"Xanh (2-32),Xám (2-32),Xanh (4-64),Xám (4-64)"
https://cdn.mediamart.vn/images/product/din-thoi-realme-c21-y-3-32-den_e70f26ba.jpg,3.490.000 ₫,Điện thoại Realme C21-Y (3-32) Đen,1900.6788,https://mediamart.vn/smartphones/dien-thoai-realme-c21-y-3-32-den,(0) ,Realme,3 GB,Spreadtrum T610,32 GB,6.5 inch,"Đen (2-32),Xanh (2-32),Đen (4-64),Xanh (4-64)"
https://cdn.mediamart.vn/images/product/dien-thoai-realme-5-pro-4128-xanh-dai-duong-dm-0Dx2D4.jpg,3.990.000 ₫,Điện thoại Realme 5 pro (4+128) - Xanh đại dương (DM),1900.6788,https://mediamart.vn/smartphones/dien-thoai-realme-5-pro-4-128-xanh-dai-duong-dm,(1) ,Realme,4 GB,Snapdragon 712,128 GB,6.3 inch,
https://cdn.mediamart.vn/images/product/dien-thoai-itel-it1508-plus-dark-blue-o5JC5m.png,790.000 ₫,Điện thoại Itel it1508 Plus Dark Blue,1900.6788,https://mediamart.vn/smartphones/dien-thoai-itel-it1508-plus-dark-blue,(1) ,Itel,1 GB,,8 GB,5.0 inch,
https://cdn.mediamart.vn/images/product/dien-thoai-itel-it1508-plus-champagne-gold-N0b674.png,790.000 ₫,Điện thoại Itel it1508 Plus Champagne Gold,1900.6788,https://mediamart.vn/smartphones/dien-thoai-itel-it1508-plus-champagne-gold,(1) ,Itel,1 GB,,8 GB,5.0 inch,
https://cdn.mediamart.vn/images/product/dien-thoai-itel-it1516plus-silver-8Oy56S.png,990.000 ₫,Điện thoại Itel IT1516Plus silver,1900.6788,https://mediamart.vn/smartphones/dien-thoai-itel-it1516plus-silver,(1) ,Itel,1 GB,,8 GB,5.0 inch,
https://cdn.mediamart.vn/images/product/-03h359.png,690.000 ₫,Điện thoại Itel A13 CALX,1900.6788,https://mediamart.vn/smartphones/dien-thoai-itel-a13-calx,(1) ,Itel,,,,5.0 inch,
https://cdn.mediamart.vn/images/product/dien-thoai-itel-it1508-plus-calx-0ltxeo.jpg,790.000 ₫,Điện thoại  Itel it1508 Plus Calx,1900.6788,https://mediamart.vn/smartphones/dien-thoai-itel-it1508-plus-calx,(1) ,Itel,1 GB,,8 GB,5.0 inch,
https://cdn.mediamart.vn/images/product/dien-thoai-itel-s12-champagne-gold-faPTMG.png,990.000 ₫,Điện thoại Itel S12 Champagne Gold,1900.6788,https://mediamart.vn/smartphones/dien-thoai-itel-s12-champagne-gold,(1) ,Itel,1 GB,,8 GB,5.0 inch,
https://cdn.mediamart.vn/images/product/dien-thoai-itel-p11-gold-7g9rj1.jpg,1.550.000 ₫,Điện thoại Itel P11 Gold,1900.6788,https://mediamart.vn/smartphones/dien-thoai-itel-p11-gold,(1) ,Itel,1 GB,SC7731C,8 GB,5.0 inch,
https://cdn.mediamart.vn/images/product/dien-thoai-itel-a32f-blue-6tdA8i.jpg,1.350.000 ₫,Điện thoại Itel A32F Blue,1900.6788,https://mediamart.vn/smartphones/dien-thoai-itel-a32f-blue,(1) ,Itel,1 GB,MT6737,8 GB,5.0 inch,
https://cdn.mediamart.vn/images/product/dien-thoai-itel-a32f-black-cSr9de.jpg,1.350.000 ₫,Điện thoại Itel A32F Black,1900.6788,https://mediamart.vn/smartphones/dien-thoai-itel-a32f-black,(1) ,Itel,1 GB,MT6737,8 GB,5.0 inch,
https://cdn.mediamart.vn/images/product/dien-thoai-itel-a32f-rose-gold-Y3O25Z.jpg,1.350.000 ₫,Điện thoại Itel A32F Rose Gold,1900.6788,https://mediamart.vn/smartphones/dien-thoai-itel-a32f-rose-gold,(1) ,Itel,1 GB,MT6737,8 GB,5.0 inch,
https://cdn.mediamart.vn/images/product/dien-thoai-itel-p11-calx-l3OAak.jpg,1.550.000 ₫,Điện thoại Itel P11 Calx,1900.6788,https://mediamart.vn/smartphones/dien-thoai-itel-p11-calx,(1) ,Itel,1 GB,SC7731C,8 GB,5.0 inch,
https://cdn.mediamart.vn/images/product/-37ymCg.jpg,6.990.000 ₫,Apple Iphone 6S Plus 32G Gold (VN/A),1900.6788,https://mediamart.vn/smartphones/apple-iphone-6s-plus-32g-gold-vna,(1) ,Apple,2 GB,A9,32 GB,5.5 inch,
https://cdn.mediamart.vn/images/product/apple-iphone-13-pro-max-512g-blue-Z6BJGr.jpg,34.990.000 ₫,Apple Iphone 13 Pro Max 512G Blue,1900.6788,https://mediamart.vn/smartphones/apple-iphone-13-pro-max-512g-blue,(1) ,Apple,6 GB,A15 Bionic,512 GB,6.7 inch,"Blue,Green,Silver,Gold,Gray"
https://cdn.mediamart.vn/images/product/apple-iphone-13-256g-black-XpQHLz.jpg,21.990.000 ₫,Apple Iphone 13 256G Black,1900.6788,https://mediamart.vn/smartphones/apple-iphone-13-256g-black,(1) ,Apple,4 GB,A15 Bionic,256 GB,6.1 inch,"Black,Pink,White,Green,Blue,Red"
https://cdn.mediamart.vn/images/product/apple-iphone-13-pro-128g-silver-ThXqdD.jpg,24.990.000 ₫,Apple Iphone 13 Pro 128G Silver,1900.6788,https://mediamart.vn/smartphones/apple-iphone-13-pro-128g-silver,(1) ,Apple,6 GB,A15 Bionic,128 GB,6.1 inch,"Silver,Green,Blue,Gold,Gray"
https://cdn.mediamart.vn/images/product/-CpB7DW.jpg,11.490.000 ₫,Apple Iphone 11 64G White,1900.6788,https://mediamart.vn/smartphones/apple-iphone-11-64gb-white,(1) ,Apple,4 GB,A13 Bionic,64 GB,6.1 inch,"White,Black,Red,Purple,Green"
https://cdn.mediamart.vn/images/product/apple-iphone-13-512g-blue_aca6e6dd.jpg,32.990.000 ₫,Apple Iphone 13 512G Blue,1900.6788,https://mediamart.vn/smartphones/apple-iphone-13-512g-blue,(1) ,Apple,4 GB,A15 Bionic,512 GB,6.1 inch,"Blue,Green,Pink,Black,White,Red"
https://cdn.mediamart.vn/images/product/apple-iphone-se-64g-5g-black-2022_8a02dfc6.jpg,12.490.000 ₫,Apple iphone SE 64G 5G Black (2022),1900.6788,https://mediamart.vn/smartphones/apple-iphone-se-64g-5g-black-2022-,(0) ,Apple,3 GB,A15 Bionic,64 GB,4.7 inch,
https://cdn.mediamart.vn/images/product/-8zUD9g.jpg,12.990.000 ₫,Apple iphone 11 128G Black,1900.6788,https://mediamart.vn/smartphones/apple-iphone-11-128g-black,(1) ,Apple,4 GB,A13 Bionic,128 GB,6.1 inch,"Black,White,Red,Purple,Green"
https://cdn.mediamart.vn/images/product/-IUJC6L.jpg,20.990.000 ₫,APPLE iPhone 12 128G Green (2020),1900.6788,https://mediamart.vn/smartphones/apple-iphone-12-128g-green-2020,(1) ,Apple,4 GB,A14 Bionic,128 GB,6.1 inch,"Green,Purple,White"
https://cdn.mediamart.vn/images/product/apple-iphone-13-pro-max-256g-blue-lH4dGm.jpg,29.990.000 ₫,Apple Iphone 13 Pro Max 256G Blue,1900.6788,https://mediamart.vn/smartphones/apple-iphone-13-pro-max-256g-blue,(1) ,Apple,6 GB,A15 Bionic,256 GB,6.7 inch,"Blue,Green,Gray,Silver,Gold"
https://cdn.mediamart.vn/images/product/apple-iphone-se-128g-5g-red-2022_59c72fa2.jpg,13.990.000 ₫,Apple iphone SE 128G 5G Red (2022),1900.6788,https://mediamart.vn/smartphones/apple-iphone-se-128g-5g-red-2022,(0) ,Apple,3 GB,A15 Bionic,128 GB,4.7 inch,
